AdoptionLikelihood,AgeMonths,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,PetType_Bird,PetType_Cat,PetType_Dog,PetType_Rabbit,Breed_Golden Retriever,Breed_Labrador,Breed_Parakeet,Breed_Persian,Breed_Poodle,Breed_Rabbit,Breed_Siamese,Color_Black,Color_Brown,Color_Gray,Color_Orange,Color_White
0,0.7303370786516854,1.0,0.13878283289209367,1.0,0.0,0.29545454545454547,0.280561122244489,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.4044943820224719,1.0,0.520009152512584,0.0,0.0,0.07954545454545454,0.4709418837675351,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.7584269662921348,0.5,0.03651422133510007,0.0,0.0,0.9545454545454546,0.7715430861723447,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.5393258426966292,0.0,0.0801045939366328,0.0,0.0,0.6818181818181818,0.4348697394789579,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.6853932584269663,1.0,0.6722439397453784,0.0,0.0,0.3068181818181818,0.028056112224448898,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.38764044943820225,1.0,0.6890901935000255,0.0,0.0,0.9772727272727273,0.6032064128256514,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.9438202247191011,0.0,0.34110736433910144,1.0,0.06,0.7840909090909091,0.8817635270541082,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.06741573033707865,1.0,0.21514969362751077,1.0,0.0,0.022727272727272728,0.2745490981963928,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.2696629213483146,0.5,0.8137160466595108,1.0,1.0,0.7727272727272727,0.811623246492986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.33146067415730335,1.0,0.21664432108126633,0.0,0.0,0.8181818181818182,0.46292585170340683,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.7247191011235955,1.0,0.5418212374129764,0.0,0.0,0.06818181818181818,0.17635270541082165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.02247191011235955,0.0,0.9683349523520438,1.0,0.0,0.6704545454545454,0.9258517034068137,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.9606741573033708,1.0,0.14733959153344,1.0,0.0,0.03409090909090909,0.1523046092184369,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.14606741573033707,1.0,0.9409810902349841,1.0,0.0,0.045454545454545456,0.27054108216432865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.8932584269662921,0.5,0.182407499115276,1.0,0.0,0.11363636363636363,0.47472945891783563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.8314606741573034,0.0,0.567257171849005,1.0,0.0,0.1590909090909091,0.9378757515030061,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.03932584269662921,0.0,0.3766733497050188,1.0,1.0,0.7159090909090909,0.811623246492986,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.2752808988764045,0.5,0.9650521580836373,1.0,0.0,0.13636363636363635,0.218436873747495,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.3707865168539326,1.0,0.27312707957075183,1.0,1.0,0.06818181818181818,0.7054108216432866,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.24157303370786518,0.0,0.3993412816519801,0.0,1.0,0.056818181818181816,0.6012024048096193,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.6966292134831461,0.0,0.9829976409065887,1.0,0.0,0.625,0.18036072144288579,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
